state,year,inc_per_cap_act
Michigan,1989,47798.92149306359
Michigan,1990,63834.90309220746
Michigan,1991,60134.39503225226
Michigan,1992,60946.27835205264
Michigan,1993,61737.16771380352
Michigan,1994,64525.42664530307
Michigan,1995,65080.53812916303
Michigan,1996,65822.78829993459
Michigan,1997,66703.02966307606
Michigan,1998,68909.67730843583
Michigan,1999,70383.37624753981
Michigan,2000,47547.450198760846
Michigan,2001,46368.86813857767
Michigan,2002,45598.37615397649
Michigan,2003,45314.29065390212
Michigan,2004,45563.30083723007
Michigan,2005,45258.73360779032
Michigan,2006,44606.922062897385
Michigan,2007,45061.49747366153
Michigan,2008,44305.77398527491
Michigan,2009,42227.5554553798
Michigan,2010,43089.09890226468
Michigan,2011,44903.331152456354
Michigan,2012,45393.02283609848
Michigan,2013,44988.219700033245
Michigan,2014,46310.67207027442
Michigan,2015,49042.24529681644
Michigan,2016,49735.11111395317
Michigan,2017,49941.60315205211
Michigan,2018,50864.34811004119
Michigan,2019,51636.612446393156
Minnesota,1980,34982.54537129844
Minnesota,1981,34377.139403989335
Minnesota,1982,33857.20320205219
Minnesota,1983,34338.322066474975
Minnesota,1984,37218.94384504877
Minnesota,1985,37934.17316104074
Minnesota,1986,38398.41939511803
Minnesota,1987,42106.46329769011
Minnesota,1988,42032.536560904126
Minnesota,1989,43498.31912036476
Minnesota,1990,55925.44830868485
Minnesota,1991,54404.65351470521
Minnesota,1992,56194.32751438577
Minnesota,1993,55084.126540908386
Minnesota,1994,56047.33564890037
Minnesota,1995,56970.90968340138
Minnesota,1996,59043.99553464928
Minnesota,1997,59648.05392583314
Minnesota,1998,63025.86264550752
Minnesota,1999,64841.99483165073
Minnesota,2000,50746.10331328314
Minnesota,2001,50446.2701336156
