date,state,unemployment
1977-01-01,Nevada,8.5
1977-01-01,New Hampshire,6.4
1977-01-01,New Jersey,10.5
1977-01-01,New Mexico,9
1977-01-01,New York,10.1
1977-01-01,North Carolina,6.5
1977-01-01,North Dakota,4.3
1977-01-01,Ohio,7.4
1977-01-01,Oklahoma,5.3
1977-01-01,Oregon,9.2
1977-01-01,Pennsylvania,8.1
1977-01-01,Rhode Island,8.8
1977-01-01,South Carolina,7.1
1977-01-01,South Dakota,3.7
1977-01-01,Tennessee,6.5
1977-01-01,Texas,5.8
1977-01-01,Utah,5.5
1977-01-01,Vermont,7.6
1977-01-01,Virginia,5.6
1977-01-01,Washington,9.4
1977-01-01,West Virginia,7.1
1977-01-01,Wisconsin,5.4
1977-01-01,Wyoming,3.8
1977-02-01,Alabama,7.4
1977-02-01,Alaska,9.4
1977-02-01,Arizona,9.2
1977-02-01,Arkansas,6.6
1977-02-01,California,9.1
1977-02-01,Colorado,6.6
1977-02-01,Connecticut,7.9
1977-02-01,District of Columbia,8.8
1977-02-01,Delaware,9.1
1977-02-01,Florida,9
1977-02-01,Georgia,7.9
1977-02-01,Hawaii,8.3
1977-02-01,Idaho,6
1977-02-01,Illinois,6.1
1977-02-01,Indiana,5.8
1977-02-01,Iowa,4
1977-02-01,Kansas,4.2
1977-02-01,Kentucky,5
1977-02-01,Louisiana,6.8
1977-02-01,Maine,9.1
1977-02-01,Maryland,6.6
1977-02-01,Massachusetts,8.6
1977-02-01,Michigan,8.7
1977-02-01,Minnesota,5.8
1977-02-01,Mississippi,7
1977-02-01,Missouri,6.3
1977-02-01,Montana,6
1977-02-01,Nebraska,3.1
1977-02-01,Nevada,8.2
1977-02-01,New Hampshire,6.3
1977-02-01,New Jersey,10.4
1977-02-01,New Mexico,8.8
1977-02-01,New York,10
1977-02-01,North Carolina,6.4
1977-02-01,North Dakota,4.4
1977-02-01,Ohio,7.3
1977-02-01,Oklahoma,5.3
1977-02-01,Oregon,9
1977-02-01,Pennsylvania,8.1
1977-02-01,Rhode Island,8.8
1977-02-01,South Carolina,7.2
1977-02-01,South Dakota,3.7
1977-02-01,Tennessee,6.6
1977-02-01,Texas,5.8
1977-02-01,Utah,5.5
1977-02-01,Vermont,7.5
1977-02-01,Virginia,5.6
1977-02-01,Washington,9.4
1977-02-01,West Virginia,7.1
1977-02-01,Wisconsin,5.4
1977-02-01,Wyoming,3.7
1977-03-01,Alabama,7.5
1977-03-01,Alaska,9.6
1977-03-01,Arizona,9.1
1977-03-01,Arkansas,6.6
1977-03-01,California,8.9
1977-03-01,Colorado,6.6
1977-03-01,Connecticut,7.7
1977-03-01,District of Columbia,8.7
1977-03-01,Delaware,8.9
1977-03-01,Florida,8.9
1977-03-01,Georgia,7.7
1977-03-01,Hawaii,8.1
1977-03-01,Idaho,5.9
1977-03-01,Illinois,6.1
1977-03-01,Indiana,5.8
1977-03-01,Iowa,4
1977-03-01,Kansas,4.1
1977-03-01,Kentucky,5
1977-03-01,Louisiana,6.8
1977-03-01,Maine,9
1977-03-01,Maryland,6.5
1977-03-01,Massachusetts,8.5
1977-03-01,Michigan,8.6
1977-03-01,Minnesota,5.8
1977-03-01,Mississippi,7.1
1977-03-01,Missouri,6.2
1977-03-01,Montana,6
1977-03-01,Nebraska,3.2
1977-03-01,Nevada,7.9
1977-03-01,New Hampshire,6.2
1977-03-01,New Jersey,10.2
1977-03-01,New Mexico,8.6
1977-03-01,New York,9.8
1977-03-01,North Carolina,6.3
1977-03-01,North Dakota,4.4
1977-03-01,Ohio,7.1
1977-03-01,Oklahoma,5.2
1977-03-01,Oregon,8.7
